Event,Location,Year,Result,Avg time,"""Change"" value"
100M Women,Amsterdam,1928,12.2,11.18,12.52
100M Women,Los Angeles,1932,11.9,,
100M Women,Berlin,1936,11.5,,
100M Women,London,1948,11.9,,
100M Women,Helsinki,1952,11.5,,
100M Women,Melbourne / Stockholm,1956,11.5,,
100M Women,Rome,1960,11,,
100M Women,Tokyo,1964,11.4,,
100M Women,Mexico,1968,11,,
100M Women,Munich,1972,11.07,,
100M Women,Montreal,1976,11.08,,
100M Women,Moscow,1980,11.06,,
100M Women,Los Angeles,1984,10.97,,
100M Women,Barcelona,1992,10.82,,
100M Women,Atlanta,1996,10.94,,
100M Women,Athens,2004,10.93,,
100M Women,Beijing,2008,10.78,,
100M Women,London,2012,10.75,,
100M Women,Rio,2016,10.71,,
100M Women,Tokyo,2021,10.61,,
,,,,,
,,,,,
