Event,Location,Year,Result,Avg Time,Change value
400M Men,Tokyo,1964,45.1,44.01,4.48
400M Men,Mexico,1968,43.8,,
400M Men,Munich,1972,44.66,,
400M Men,Montreal,1976,44.26,,
400M Men,Moscow,1980,44.6,,
400M Men,Los Angeles,1984,44.27,,
400M Men,Barcelona,1992,43.5,,
400M Men,Atlanta,1996,43.49,,
400M Men,Sydney,2000,43.84,,
400M Men,Athens,2004,44,,
400M Men,Beijing,2008,43.75,,
400M Men,London,2012,43.94,,
400M Men,Rio,2016,43.03,,
400M Men,Tokyo,2021,43.85,,
,,,,,
,,,,,
