Event,Location,Year,Result,Avg time,"""Change"" value"
400M Women,Tokyo,1964,52,49.62,8.32
400M Women,Mexico,1968,52,,
400M Women,Munich,1972,51.08,,
400M Women,Montreal,1976,49.29,,
400M Women,Moscow,1980,48.88,,
400M Women,Los Angeles,1984,48.83,,
400M Women,Barcelona,1992,48.83,,
400M Women,Atlanta,1996,48.25,,
400M Women,Sydney,2000,49.11,,
400M Women,Athens,2004,49.41,,
400M Women,Beijing,2008,49.62,,
400M Women,London,2012,49.55,,
400M Women,Rio,2016,49.44,,
400M Women,Tokyo,2021,48.36,,
,,,,,
,,,,,
